CO2;Flow;Rcapture;RCO2;Qreb;Treb;Wpumps;Wcfg;Wc1;Wc2;Wc3;Wrefr1;Wrefr2;Wrecomp;Makeup;Habs;Dabs;Qwash;Tinwash;Toutwash;Qtoabs;Tintoabs;Touttoabs;Qstrip;Tinstrip;Toutstrip;Qlean;Tinlean;Toutlean;Qint2;Tinint2;Toutint2;Qint1;Tinint1;Toutint1;Qdcc;Tindcc;Toutdcc;Qdhx;Tindhx;Toutdhx;Qdry;Tindry;Toutdry;Qdum;Tindum;Toutdum;Qliq;COP;Qrcond;Tinrcond;Toutrcond;Qrint;Tinrint;Toutrint;Qpreliq;Tinpreliq;Toutpreliq
16;50;94;0,939425599;39979,8732;121,061718;43,9525721;1068,13591;772,603408;720,083376;649,510831;794,276359;636,281119;35,9276628;0,015115579;22;5,73483637;-1064,46943;330,7557334;303,15;-8549,74537;423,15;294,15;-7891,99031;367,0294712;303,15;-8413,28478;323,6615616;313,15;-764,132114;367,4494551;293,15;-1071,97959;378,5913094;293,15;-2128,58843;293,15;283,15;-4393,88364;323,5072379;303,15;-7984,18085;329,8898958;313,15;-1911,33033;459,3580133;423,15;-3670,89192;2,566056923;-4545,01976;376,9693477;303,6846362;-484,901432;354,9594962;293,15;-834,030414;358,8364519;293,15
16;50;90;0,89890568;36974,826;121,104581;41,7375396;1068,13591;739,738077;689,451801;621,88191;760,470818;609,200082;34,4306472;0,017794497;21;5,69648452;-1194,65369;333,9766858;303,15;-8549,74537;423,15;294,15;-7061,45504;365,8883332;303,15;-6796,37399;322,4148493;313,15;-731,627477;367,449312;293,15;-1026,38321;378,5911557;293,15;-2128,58843;293,15;283,15;-4393,88364;323,5072379;303,15;-10653,4844;333,1330736;313,15;-1911,33033;459,3580133;423,15;-3514,6535;2,566056927;-4351,57721;376,9693477;303,6846362;-464,263331;354,9594962;293,15;-797,791266;358,7642839;293,15
16;50;86;0,86153999;34783,7355;121,127642;40,2378792;1068,13591;708,991333;660,794987;596,032617;728,837662;583,859305;33,014079;0,017694704;21;5,62566633;-1230,39962;334,8607515;303,15;-8549,74537;423,15;294,15;-6524,11117;365,2604544;303,15;-5900,7576;321,7413771;313,15;-701,218136;367,4492386;293,15;-983,723953;378,5910761;293,15;-2128,58843;293,15;283,15;-4393,88364;323,5072379;303,15;-11556,5574;334,0340876;313,15;-1911,33033;459,3580133;423,15;-3368,45514;2,566056923;-4170,5655;376,9693477;303,6846362;-444,95146;354,9594962;293,15;-765,889859;358,8708644;293,15
16;50;82;0,822367425;32841,564;121,143987;38,9769377;1068,13591;676,749178;630,744547;568,928533;695,687547;557,303319;31,5204594;0,016795402;21;5,54866961;-1239,24626;335,083239;303,15;-8549,74537;423,15;294,15;-6097,79157;364,8975162;303,15;-5228,85769;321,2345371;313,15;-669,329466;367,4492034;293,15;-938,989202;378,591037;293,15;-2128,58843;293,15;283,15;-4393,88364;323,5072379;303,15;-11869,3253;334,2673127;313,15;-1911,33033;459,3580133;423,15;-3215,24589;2,566056926;-3980,87343;376,9693477;303,6846362;-424,713494;354,9594962;293,15;-730,698257;358,8355831;293,15
16;50;78;0,776408287;30704,1366;121,160665;37,6224471;1068,13591;638,92031;595,48715;537,124284;656,797879;526,149475;29,7645004;0,015519711;21;5,45979836;-1238,04017;335,0586671;303,15;-8549,74537;423,15;294,15;-5653,10606;364,5815326;303,15;-4549,04588;320,6891603;313,15;-631,91563;367,4491719;293,15;-886,501931;378,5910031;293,15;-2128,58843;293,15;283,15;-4393,88364;323,5072379;303,15;-11962,8489;334,2519403;313,15;-1911,33033;459,3580133;423,15;-3035,51025;2,566056925;-3758,3384;376,9693477;303,6846362;-400,971562;354,9594962;293,15;-690,598706;358,905521;293,15
16;25;94;0,942500939;20268,8151;121,052026;22,78585001;534,067956;387,782431;361,421817;326,00034;398,668152;319,366194;18,0282971;0,007097308;21;4,04833356;-1024,43381;329,7225364;303,15;-4274,87269;423,15;294,15;-4042,1497;367,366366;303,15;-4412,60575;323,9950242;313,15;-383,530486;367,4494969;293,15;-538,043681;378,5913541;293,15;-1064,0066;293,15;283,15;-2196,32852;323,5072379;303,15;-3310,15554;327,9313106;313,15;-955,665167;459,3580133;423,15;-1842,51701;2,566056931;-2281,26471;376,9693477;303,6846362;-243,384756;354,9594962;293,15;-418,353692;358,7966727;293,15
16;25;90;0,899118483;18488,4497;121,104691;21,42262291;534,067956;369,956669;344,807585;311,013947;380,32119;304,668759;17,2193485;0,008906944;21;4,02833021;-1197,06478;333,9812514;303,15;-4274,87269;423,15;294,15;-3530,19445;365,8817425;303,15;-3399,1777;322,4175475;313,15;-365,90049;367,4493141;293,15;-513,313079;378,591154;293,15;-1064,0066;293,15;283,15;-2196,32852;323,5072379;303,15;-4927,48185;332,2369159;313,15;-955,665167;459,3580133;423,15;-1757,7283;2,566064367;-2176,27946;376,9693477;303,6846362;-232,184035;354,9594962;293,15;-399,377993;358,829501;293,15
16;25;86;0,861257599;17390,6837;121,127474;20,65660851;534,067956;354,379331;330,289071;297,918955;364,299854;291,834343;16,5015434;0,008834225;21;3,97754666;-1231,9953;334,837856;303,15;-4274,87269;423,15;294,15;-3262,70591;365,2695201;303,15;-2952,12135;321,7464333;313,15;-350,493963;367,4492404;293,15;-491,700628;378,5910784;293,15;-1064,0066;293,15;283,15;-2196,32852;323,5072379;303,15;-5349,76936;333,1300137;313,15;-955,665167;459,3580133;423,15;-1683,6777;2,566056925;-2084,60194;376,9693477;303,6846362;-222,403096;354,9594962;293,15;-382,183806;358,760143;293,15
16;25;82;0,819419519;16340,3972;121,145558;19,95656971;534,067956;337,161169;314,241314;283,443301;346,595849;277,651969;15,7041665;0,008366553;21;3,91916718;-1242,81146;335,1040002;303,15;-4274,87269;423,15;294,15;-3031,85174;364,862711;303,15;-2586,13992;321,188556;313,15;-333,464685;367,449202;293,15;-467,810862;378,5910383;293,15;-1064,0066;293,15;283,15;-2196,32852;323,5072379;303,15;-5525,15037;333,4209633;313,15;-955,665167;459,3580133;423,15;-1601,85544;2,566056931;-1983,29582;376,9693477;303,6846362;-211,594896;354,9594962;293,15;-364,164329;358,8582997;293,15
16;25;78;0,780003064;15434,6807;121,159375;19,36992781;534,067956;320,939485;299,122353;269,805919;329,917987;264,29162;14,950873;0,007809343;21;3,86548207;-1240,92076;335,0593553;303,15;-4274,87269;423,15;294,15;-2843,30544;364,6039794;303,15;-2300,67914;320,7339193;313,15;-317,420916;367,4491784;293,15;-445,303534;378,5910081;293,15;-1064,0066;293,15;283,15;-2196,32852;323,5072379;303,15;-5554,56938;333,3916728;313,15;-955,665167;459,3580133;423,15;-1524,77568;2,56605693;-1887,86152;376,9693477;303,6846362;-201,413151;354,9594962;293,15;-346,588484;358,8464308;293,15
16;3;94;0,941633274;2426,50085;121,053777;3,36895143;64,0881546;46,4911331;43,3307589;39,0841512;47,7962175;38,2887078;2,16147319;0,000862682;21;1,40286222;-1240,38879;319,4896315;303,15;-512,984724;423,15;294,15;-483,178654;367,3169497;303,15;-525,940717;323,9514403;313,15;-45,9813633;367,4494412;293,15;-64,5059469;378,5913046;293,15;-75,3158078;293,15;283,15;-300,260469;323,3465035;303,15;-1,89961738;313,24054;313,15;-114,67982;459,3580133;423,15;-220,898762;2,566056266;-273,500081;376,969346;303,6846362;-29,1793408;354,9595416;293,15;-50,1878225;358,8381269;293,15
16;3;90;0,902917835;2233,82451;121,101588;3,19871604;64,0881546;44,5820423;41,5514244;37,4790916;45,8315393;36,7148387;2,07489504;0,001064818;21;1,39712158;-1439,37334;322,032367;303,15;-512,984724;423,15;294,15;-427,576424;365,9677008;303,15;-415,140445;322,5109884;313,15;-44,0932468;367,4492775;293,15;-61,85737;378,5911163;293,15;-75,3158078;293,15;283,15;-300,260469;323,3465035;303,15;-2,26457367;313,2631508;313,15;-114,67982;459,3580133;423,15;-211,81869;2,566056744;-262,257776;376,969346;303,6846362;-27,9799149;354,9595416;293,15;-48,1014355;358,7936766;293,15
16;3;86;0,863512444;2093,31869;121,126633;3,08444381;64,0881546;42,6367191;39,7383285;35,8436864;43,8302969;35,1116786;1,98532705;0,001064086;21;1,37900688;-1503,59848;322,8484742;303,15;-512,984724;423,15;294,15;-392,832524;365,2814319;303,15;-356,949987;321,7838586;313,15;-42,1692646;367,4491936;293,15;-59,1583695;378,5910273;293,15;-75,3158078;293,15;283,15;-300,260469;323,3465035;303,15;-2,55905896;313,2804814;313,15;-114,67982;459,3580133;423,15;-202,569551;2,566056267;-250,806243;376,969346;303,6846362;-26,7581669;354,9595416;293,15;-46,0023662;358,7898184;293,15
16;3;82;0,823139346;1972,1436;121,143886;2,99059717;64,0881546;40,6430277;37,8801599;34,1676978;41,7803721;33,46952;1,89300623;0,001009636;21;1,35949465;-1525,309;323,1238838;303,15;-512,984724;423,15;294,15;-366,063567;364,889968;303,15;-314,740693;321,2535633;313,15;-40,1974295;367,4491919;293,15;-56,3921883;378,5910262;293,15;-75,3158078;293,15;283,15;-300,260469;323,3465035;303,15;-2,73449141;313,2909089;313,15;-114,67982;459,3580133;423,15;-193,095449;2,566056158;-239,076139;376,969346;303,6846362;-25,5066986;354,9595416;293,15;-43,881818;358,8338217;293,15
16;3;78;0,780603864;1853,70027;121,159165;2,90093596;64,0881546;38,5424721;35,9223917;32,4016766;39,6207534;31,7394876;1,79549415;0,000938643;21;1,33936577;-1530,32521;323,1875312;303,15;-512,984724;423,15;294,15;-341,413045;364,600849;303,15;-276,937543;320,7504523;313,15;-38,1199125;367,4491876;293,15;-53,4776842;378,5910241;293,15;-75,3158078;293,15;283,15;-300,260469;323,3465035;303,15;-2,8646138;313,2986707;313,15;-114,67982;459,3580133;423,15;-183,114391;2,56605623;-226,718344;376,969346;303,6846362;-24,1882627;354,9595416;293,15;-41,6103024;358,8265423;293,15
